bookID,title,authors,average_rating,clean_isbn,description,published_year,thumbnail,google_category,preview_link,extracted_characters,extracted_settings
41865,Twilight (Twilight  #1),Stephenie Meyer,3.59,9780316015844,"With 160 million copies of the Twilight Saga sold worldwide, this addictive love story between a teenage girl and a vampire redefined romance for a generation. Here's the book that started it all. Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn. Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear. The lovers find themselves balanced precariously on the point of a knife-between desire and danger. Deeply romantic and extraordinarily suspenseful, Twilightcaptures the struggle between defying our instincts and satisfying our desires. This is a love story with bite. ""People do not want to just read Meyer's books; they want to climb inside them and live there.""-Time ""A literary phenomenon.""-The New York Times",2006,,Young Adult Fiction,http://books.google.com/books?id=o37NuQEACAAJ&dq=isbn:9780316015844&hl=&cd=1&source=gbs_api,"Isabella, Edward, Edward Cullen, Isabella Swan's",Washington
5907,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,9780618260300,"A newly rejacketed edition of the classic tale chronicles the adventures of the inhabitants of Middle-earth and of Bilbo Baggins, the hobbit who brought home to The Shire the One Ring of Power.",2001,http://books.google.com/books/content?id=ljWL5A7D2JAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,http://books.google.com/books?id=ljWL5A7D2JAC&dq=isbn:9780618260300&hl=&cd=1&source=gbs_api,Bilbo Baggins,Middle-earth
5107,The Catcher in the Rye,J.D. Salinger,3.8,9780316769174,"The ""brilliant, funny, meaningful novel"" (The New Yorker) that established J. D. Salinger as a leading voice in American literature--and that has instilled in millions of readers around the world a lifelong love of books. ""If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth."" The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caufield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days.",2001,http://books.google.com/books/content?id=iQDWg8mBz-0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,http://books.google.com/books?id=iQDWg8mBz-0C&dq=isbn:9780316769174&hl=&cd=1&source=gbs_api,"Holden Caufield, J. D. Salinger, David Copperfield","New York City, Pennsylvania"
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,9781416524793,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican.",2006,http://books.google.com/books/content?id=ENlhNnYhQEMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,http://books.google.com/books?id=ENlhNnYhQEMC&dq=isbn:9781416524793&hl=&cd=1&source=gbs_api,"Robert Langdon, Dan Brown, Ron Howard, Tom Hanks",Inferno
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,9780439655484,"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths.",2004,http://books.google.com/books/content?id=FBXRzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,http://books.google.com/books?id=FBXRzgEACAAJ&dq=isbn:9780439655484&hl=&cd=1&source=gbs_api,Harry Potter,
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,9780439064866,Harry Potter is a wizard. He is in his second year at Hogwarts School of Witchcraft and Wizardry. Little does he know that this year will be just as eventful as the last.,1999,http://books.google.com/books/content?id=Bikg274Y4Q0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,http://books.google.com/books?id=Bikg274Y4Q0C&dq=isbn:9780439064866&hl=&cd=1&source=gbs_api,Harry Potter,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,9780439358071,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",2008,,Bildungsromans,http://books.google.com/books?id=fmc00AEACAAJ&dq=isbn:9780439358071&hl=&cd=1&source=gbs_api,Harry Potter,
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,9780618346257,"After discovering the true nature of the One Ring, Bilbo Baggins entrusts it to the care of his young cousin, Frodo, who is charged with bringing about its destruction and thus foiling the plans of the Dark Lord.",2003,http://books.google.com/books/content?id=GNnxzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,http://books.google.com/books?id=GNnxzQEACAAJ&dq=isbn:9780618346257&hl=&cd=1&source=gbs_api,Bilbo Baggins,
7613,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,9780452284241,"75th Anniversary Edition—Includes a New Introduction by Téa Obreht George Orwell's timeless and timely allegorical novel—a scathing satire on a downtrodden society’s blind march towards totalitarianism. SOON TO BE A NETFLIX FILM! “All animals are equal, but some animals are more equal than others.” A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned—a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh. With a foreword by Ann Patchett",2003,http://books.google.com/books/content?id=I8yNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,http://books.google.com/books?id=I8yNEAAAQBAJ&dq=isbn:9780452284241&hl=&cd=1&source=gbs_api,"Ann Patchett, Téa Obreht, George Orwell’s, George Orwell's",Russia
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,9780439785969,"There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building... wherever they had murdered... When Dumbledore arrives at Privet Drive one summer night to collect Harry Potter, his wand hand is blackened and shrivelled, but he does not reveal why. Secrets and suspicion are spreading through the wizarding world, and Hogwarts itself is not safe. Harry is convinced that Malfoy bears the Dark Mark: there is a Death Eater amongst them. Harry will need powerful magic and true friends as he explores Voldemort's darkest secrets, and Dumbledore prepares him to face his destiny... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",2015,http://books.google.com/books/content?id=R7YsowJI9-IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Juvenile Fiction,http://books.google.com/books?id=R7YsowJI9-IC&printsec=frontcover&dq=intitle:Harry+Potter+and+the+Half-Blood+Prince+(Harry+Potter++%236)%2Binauthor:J.K.+Rowling&hl=&cd=1&source=gbs_api,"Harry Potter, Hogwarts, Harry, Dumbledore, Malfoy",
7624,Lord of the Flies,William Golding,3.68,9780140283334,"Lord of the Flies remains as provocative today as when it was first published in 1954, igniting passionate debate with its startling, brutal portrait of human nature. Though critically acclaimed, it was largely ignored upon its initial publication. Yet soon it became a cult favorite among both students and literary critics who compared it to J.D. Salinger's The Catcher in the Rye in its influence on modern thought and literature. William Golding's compelling story about a group of very ordinary small boys marooned on a coral island has become a modern classic. At first it seems as though it is all going to be great fun; but the fun before long becomes furious and life on the island turns into a nightmare of panic and death. As ordinary standards of behaviour collapse, the whole world the boys know collapses with them—the world of cricket and homework and adventure stories—and another world is revealed beneath, primitive and terrible. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies has established itself as a true classic. ""Lord of the Flies is one of my favorite books. That was a big influence on me as a teenager, I still read it every couple of years."" —Suzanne Collins, author of The Hunger Games ""As exciting, relevant, and thought-provoking now as it was when Golding published it in 1954."" —Stephen King",1999,http://books.google.com/books/content?id=LoZPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,http://books.google.com/books?id=LoZPEAAAQBAJ&dq=isbn:9780140283334&hl=&cd=1&source=gbs_api,"J.D. Salinger's, William Golding's, Stephen King, Golding, Suzanne Collins",
18135,Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,9780743477116,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud. In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers. The authoritative edition of Romeo and Juliet from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes: -Freshly edited text based on the best early printed version of the play -Newly revised explanatory notes conveniently placed on pages facing the text of the play -Scene-by-scene plot summaries -A key to the play’s famous lines and phrases -An introduction to reading Shakespeare’s language -An essay by a leading Shakespeare scholar providing a modern perspective on the play -Fresh images from the Folger Shakespeare Library’s vast holdings of rare books -An up-to-date annotated guide to further reading Essay by Gail Kern Paster The Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.",2004,http://books.google.com/books/content?id=c6S1yQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Drama,http://books.google.com/books?id=c6S1yQEACAAJ&dq=isbn:9780743477116&hl=&cd=1&source=gbs_api,"Shakespeare, Essay, Shakespeare Library, Juliet, Montagues","Washington, Romeo"
28187,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,4.25,9780786838653,"Percy Jackson and the Lightning Thief is the first bestselling book in Rick Riordan's phenomenally successful Percy Jackson series. Half boy. Half God. ALL Hero. Look, I didn't want to be a half-blood. I never asked to be the son of a Greek God. I was just a normal kid, going to school, playing basketball, skateboarding. The usual. Until I accidentally vaporized my maths teacher. Now I spend my time battling monsters and generally trying to stay alive. This is the one where Zeus, God of the Sky, thinks I've stolen his lightning bolt - and making Zeus angry is a very bad idea. ----- Rick Riordan has now sold an incredible 55 million copies of his books worldwide 'It's Buffy meets Artemis Fowl. Thumbs up' Sunday Times ----- Books by Rick Riordan: The Percy Jackson series: Percy Jackson and the Lightning Thief Percy Jackson and the Sea of Monsters Percy Jackson and the Titan's Curse Percy Jackson and the Battle of the Labyrinth Percy Jackson and the Last Olympian Percy Jackson: The Demigod Files The Heroes of Olympus series: The Lost Hero The Son Of Neptune The Mark of Athena The Heroes of Olympus: The Demigod Files The Kane Chronicles series: The Red Pyramid The Throne of Fire The Serpent's Shadow The Magnus Chase series: Magnus Chase and the Sword of Summer Magnus Chase and the Hammer of Thor Magnus Chase and the Ship of the Dead The Trials of Apollo series: The Dark Prophecy The Hidden Oracle The Burning Maze",2013,http://books.google.com/books/content?id=IQKqlAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Adventure stories,http://books.google.com/books?id=IQKqlAEACAAJ&dq=intitle:The+Lightning+Thief+(Percy+Jackson+and+the+Olympians++%231)%2Binauthor:Rick+Riordan&hl=&cd=1&source=gbs_api,"Zeus, Rick Riordan, Curse Percy Jackson, Rick Riordan's, Percy Jackson","Titan, the Sword of Summer Magnus Chase"
890,Of Mice and Men,John Steinbeck,3.87,9780142000670,"A controversial tale of friendship and tragedy during the Great Depression, in a deluxe centennial edition Over seventy-five years since its first publication, Steinbeck’s tale of commitment, loneliness, hope, and loss remains one of America’s most widely read and taught novels. An unlikely pair, George and Lennie, two migrant workers in California during the Great Depression, grasp for their American Dream. They hustle work when they can, living a hand-to-mouth existence. For George and Lennie have a plan: to own an acre of land and a shack they can call their own. When they land jobs on a ranch in the Salinas Valley, the fulfillment of their dream seems to be within their grasp. But even George cannot guard Lennie from the provocations, nor predict the consequences of Lennie's unswerving obedience to the things George taught him. Of Mice and Men represents an experiment in form, which Steinbeck described as “a kind of playable novel, written in a novel form but so scened and set that it can be played as it stands.” A rarity in American letters, it achieved remarkable success as a novel, a Broadway play, and three acclaimed films. This Centennial edition, specially designed to commemorate one hundred years of Steinbeck, features french flaps and deckle-edged pages. For more than sixty-five years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,500 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",2002,http://books.google.com/books/content?id=BIxPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,http://books.google.com/books?id=BIxPEAAAQBAJ&printsec=frontcover&dq=isbn:9780142000670&hl=&cd=1&source=gbs_api,"George, George and Lennie, Lennie, Centennial, Steinbeck","the Salinas Valley, California, America"
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,9780307277671,"THE #1 WORLDWIDE BESTSELLING PHENOMENON, WITH MORE THAN 85 MILLION COPIES SOLD “Blockbuster perfection . . . a gleefully erudite suspense novel.” —The New York Times “A pulse-quickening, brain-teasing adventure.” —People While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter. Even more startling, the late curator was involved in the Priory of Sion, a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci, and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever. Robert Langdon returns in The Lost Symbol, Inferno, Origin, and The Secret of Secrets (coming soon)!",2006,http://books.google.com/books/content?id=hbZ0Yfz-NG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,http://books.google.com/books?id=hbZ0Yfz-NG8C&printsec=frontcover&dq=isbn:9780307277671&hl=&cd=1&source=gbs_api,"Langdon, Louvre, Isaac Newton, Robert Langdon, Leonardo da Vinci","Paris, Neveu"
